ID	Source	Change	Target	Predicted Target
Guarani0232	Ore ndorombyai kuri	TYPE:AFF	Ore rombyai kuri	Ore rombyai kuri
Guarani0233	Ore ndorombyai kuri	TENSE:FUT_SIM	Ore ndorombyaita	Ore ndorombyaiíta
Guarani0234	Ore ndorombyai kuri	PERSON:1_PL_INC	Ñande nañambyai kuri	Ñande ndorombyai kuri
Guarani0235	Ore ndorombyai kuri	PERSON:1_SI	Che nambyai kuri	Che ndorombyai kuri
Guarani0236	Ore ndorombyai kuri	PERSON:2_PL	Peẽ napembyai kuri	Nde ndorembyai kuri
Guarani0237	Ore ndorombyai kuri	PERSON:2_SI	Nde nerembyai kuri	Nde rombyai kuri
Guarani0073	Peẽ napeñanga’uta	TYPE:AFF	Peẽ peñanga’uta	Peẽ añanga’uta
Guarani0074	Peẽ napeñanga’uta	PERSON:3_PL	Ha’ekuéra ndoñanga’uta	Ha’ekuéra ndoñanga’uta
Guarani0075	Peẽ napeñanga’uta	PERSON:1_SI	Che nañanga’uta	Che napeñanga’uta
Guarani0076	Peẽ napeñanga’uta	TENSE:PAS_REC	Peẽ napeñanga’ui kuri	Peẽ napeñanga'úkuri
Guarani0077	Peẽ napeñanga’uta	TENSE:PRE_SIM	Peẽ napeñanga’ui	Peẽ napeñanga’ui
Guarani0238	Peẽ peñemongetami	TENSE:PAS_REC	Peẽ peñemongeta kuri	Peẽ peñemongetáikuri
Guarani0239	Peẽ peñemongetami	PERSON:1_PL_INC	Ñande ñañemongetami	Ñande peñemongetami
Guarani0240	Peẽ peñemongetami	PERSON:1_PL_EXC	Ore roñemongetami	Ore noroñemongetami
Guarani0241	Peẽ peñemongetami	TENSE:FUT_SIM	Peẽ peñemongetáta	Peẽ peñemongetámi
Guarani0242	Peẽ peñemongetami	TYPE:NEG	Peẽ napeñemongetaimi	Ndapeñemongetámi
Guarani0243	Peẽ peñemongetami	TENSE:PRE_SIM	Peẽ peñemongeta	Peẽ peñemongeta
Guarani0048	Che ndahechái kuri peteĩ óga	TYPE:AFF	Che ahechakuri peteĩ óga	Che ahechái kuri peteĩ óga
Guarani0049	Che ndahechái kuri peteĩ óga	ASPECT:IPFV	Che ndahecháihina kuri peteĩ óga	Che ndahechái kuri hína peteĩ óga
Guarani0050	Che ndahechái kuri peteĩ óga	TENSE:PRE_SIM	Che ndahechái peteĩ óga	Che ndahechaí
Guarani0051	Che ndahechái kuri peteĩ óga	PERSON:2_SI	Nde nderehechái peteĩ óga	Nde nderehechái kuri peteĩ óga
Guarani0021	Ko’ã tembi’u ombojy jepe’a tatarendýpe	PERSON:1_PL_INC	Ko’ã tembi’u ñambojy jepe’a tatarendýpe	Ñande ko’ã tembi’u ombojy jepe’a tatarendýpe
Guarani0022	Ko’ã tembi’u ombojy jepe’a tatarendýpe	PERSON:1_PL_EXC	Ko’ã tembi’u rombojy jepe’a tatarendýpe	Ore ko’ã tembi’u ombojy jepe’a tatarendýpe
Guarani0023	Ko’ã tembi’u ombojy jepe’a tatarendýpe	TYPE:NEG	Ko’ã tembi’u ndoñembojýi jepe’a tatarendýpe	Ko’ã tembi’u ndombojy jepe’a tatarendýpe
Guarani0024	Ko’ã tembi’u ombojy jepe’a tatarendýpe	TENSE:FUT_SIM	Ko’ã tembi’u oñembojýta jepe’a tatarendýpe	Ko’ã tembi’u ombojy jepe’a tatarendýta
Guarani0025	Ko’ã tembi’u ombojy jepe’a tatarendýpe	TENSE:PAS_PLU	Ko’ã tembi’u oñembojýva’ekue jepe’a tatarendýpe	Ko’ã tembi’u ombojy jepe’a tatarendýva’ekue
Guarani0179	Peẽ napemongyrái kuri	TENSE:FUT_SIM	Peẽ napemongyráita	Peẽ napemongyráita
Guarani0180	Peẽ napemongyrái kuri	TENSE:PRE_SIM	Peẽ napemongyrá	Peẽ napemongyrái
Guarani0181	Peẽ napemongyrái kuri	PERSON:3_PL	Ha’ekuéra nomongyrái kuri	Ha’ekuéra ndope mongyrái kuri
Guarani0182	Peẽ napemongyrái kuri	PERSON:1_PL_INC	Ñande nañamongyrái kuri	Ñande napemongyrái kuri
Guarani0183	Peẽ napemongyrái kuri	PERSON:1_PL_EXC	Ore noromongyrái kuri	Ore noromongyrái kuri
Guarani0184	Peẽ napemongyrái kuri	TYPE:AFF	Peẽ pemongyra kuri	Peẽ pemongyrái kuri
Guarani0010	Peteĩ ko’ẽme oñombohovai rakúma hikuái	TYPE:NEG	Peteĩ ko’ẽme noñombohovai rakúma hikuái	Ndopeteĩ ko’ẽme ndoñombohovai rakúma hikuái.
Guarani0011	Peteĩ ko’ẽme oñombohovai rakúma hikuái	PERSON:2_PL	Peteĩ ko’ẽme nde reñombohovai rakúma	Peteĩ ko’ẽme pemombohovai rakúma hikuái.
Guarani0012	Peteĩ ko’ẽme oñombohovai rakúma hikuái	PERSON:1_PL_INC	Peteĩ ko’ẽme ñande ñañombohovai rakúma	Ñande oñombohovai rakúma hikuái
Guarani0013	Peteĩ ko’ẽme oñombohovai rakúma hikuái	PERSON:1_PL_EXC	Peteĩ ko’ẽme ore roñombohovai rakúma	Ore ko’ẽme oñombohovai rakúma hikuái
Guarani0067	Ha’ekuéra osãmbyhy	TYPE:NEG	Ha’ekuéra ndosãmbyhyi	Ha’ekuéra ndosãmbyhy
